lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,20.0,20.34719983401658,12.594428297837501,47.3,74.3
0.05,20.0,20.34719983401659,12.594428297837501,47.3,74.3
0.1,20.0,20.34719983401663,12.594428297837501,47.3,74.3
0.15,20.0,20.347199834016585,12.594428297837501,47.3,74.3
0.2,21.0,21.799627177568567,19.239267420140806,43.5,60.7
0.25,21.0,21.856042112119887,19.423479434418834,43.4,60.3
0.3,21.0,21.85604211211987,19.423479434418834,43.4,60.3
0.35,22.0,22.920269727228973,21.584154862873582,40.6,55.9
0.4,23.0,24.032975748055417,23.28631524973867,37.7,52.4
0.45,23.0,24.03297574805533,23.28631524973867,37.7,52.4
0.5,24.0,25.04519733317703,24.386687499967724,35.1,50.2
0.55,24.0,25.04519733317702,24.386687499967724,35.1,50.2
0.6,25.0,26.07507682641862,25.18846443435368,32.4,48.5
0.65,26.0,27.113708920201024,25.760011034940966,29.7,47.3
0.7,27.0,28.11978229319137,26.284798027222273,27.1,46.3
0.75,28.0,29.138970503917513,26.63697964333917,24.5,45.6
0.8,28.0,29.138970503917523,26.63697964333917,24.5,45.6
0.85,30.0,31.143570941255817,27.051402219760924,19.3,44.7
0.9,30.0,31.143570941255817,27.051402219760924,19.3,44.7
0.95,31.0,32.13505251049354,27.129212457444616,16.7,44.5
1.0,32.0,33.13279285748731,27.136960568961324,14.1,44.5
