lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,6.0,6.707949375562267,9.277065943899553,71.6,16.4
0.05,6.0,6.707949375562014,9.277065943899553,71.6,16.4
0.1,6.0,6.707949375562258,9.277065943899553,71.6,16.4
0.15,6.0,6.707949375562219,9.277065943899553,71.6,16.4
0.2,6.0,6.707949375561961,9.277065943899553,71.6,16.4
0.25,6.0,6.70794937556202,9.277065943899553,71.6,16.4
0.3,6.0,6.707949375562007,9.277065943899553,71.6,16.4
0.35,6.0,6.707949375562009,9.277065943899553,71.6,16.4
0.4,6.0,6.70794937556204,9.277065943899553,71.6,16.4
0.45,6.0,6.707949375562016,9.277065943899553,71.6,16.4
0.5,6.0,7.005640032662296,9.589357658825993,70.4,13.5
0.55,6.0,7.005640032662296,9.589357658825993,70.4,13.5
0.6,6.0,7.005640032662296,9.589357658825993,70.4,13.5
0.65,6.0,7.005640032662296,9.589357658825993,70.4,13.5
0.7,6.0,7.005640032662296,9.589357658825993,70.4,13.5
0.75,6.0,7.005640032662296,9.589357658825993,70.4,13.5
0.8,6.0,7.005640032662379,9.589357658825993,70.4,13.5
0.85,10.0,10.891238896231542,10.35070247593172,53.9,6.7
0.9,10.0,10.891238896231556,10.35070247593172,53.9,6.7
0.95,17.0,17.671731558941634,10.969101799627476,25.2,1.1
1.0,20.0,20.647956963379823,11.002087297907922,12.7,0.8
