stop_id,route_id,average_ons,average_offs,average_load,X,Y,Stop_ID,Stop_Name,lambda_0.0,lambda_0.05,lambda_0.1,lambda_0.15,lambda_0.2,lambda_0.25,lambda_0.3,lambda_0.35,lambda_0.4,lambda_0.45,lambda_0.5,lambda_0.55,lambda_0.6,lambda_0.65,lambda_0.7,lambda_0.75,lambda_0.8,lambda_0.85,lambda_0.9,lambda_0.95,lambda_1.0
20761,71,5.9022136518341455,0.0,7.152018750804329,-71.118948,42.3742740000001,20761.0,Harvard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,71,2.1222401596269003,0.2512273923499018,8.816874414721898,-71.1232699999999,42.3735150000001,2020.0,Mt Auburn St @ Story St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,71,0.18945178951345937,0.02071967129960488,11.738350695300115,-71.1256299999999,42.374356,2021.0,Mt Auburn St @ Ash St,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,71,0.0964092867718935,0.13524462442601676,11.6806776031527,-71.130454,42.3747290000001,2023.0,Mt Auburn St @ Sparks St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2025,71,0.3263253981944682,0.9622297927602126,11.034182177819805,-71.133865,42.374937,2025.0,Mt Auburn St @ Longfellow Rd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026,71,0.07668703588473515,0.14068156019739275,10.972488680772896,-71.136647,42.375072,2026.0,Mt Auburn St @ Traill St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,71,0.03854042423420981,0.13809153518445502,10.878886608529045,-71.13958,42.3749720000001,2027.0,Mt Auburn St opp Coolidge Ave,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2028,71,0.007513746334310844,0.1391840157984015,10.755177121068366,-71.143947,42.3753970000001,2028.0,Mt Auburn St @ Brattle St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2030,71,0.6861832160038989,1.4097762184052507,10.73877855130322,-71.148307,42.374974,2030.0,Mt Auburn St @ Homer Ave,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2032,71,0.3331799685661166,0.6789756551692036,10.405150842937367,-71.15244,42.3738520000001,2032.0,Mt Auburn St @ Saint Marys St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2033,71,0.11413490831327643,0.44998704721380245,10.083747320042384,-71.1550319999999,42.372849,2033.0,Mt Auburn St @ Keenan St,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2034,71,0.5523952331665803,1.8223005084731847,8.796700021357518,-71.157636,42.371608,2034.0,Mt Auburn St @ Kimball Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2036,71,0.2174014405371141,0.5917571581907443,8.432501757887906,-71.1606169999999,42.3703980000001,2036.0,Mt Auburn St @ Upland Rd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2037,71,0.1551463400609511,0.5093901676017428,8.112206754451535,-71.163428,42.3708990000001,2037.0,Mt Auburn St @ Winsor Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2038,71,0.10866348768246299,0.37322385415554304,7.829354534775788,-71.166657,42.370076,2038.0,Mt Auburn St @ Adams Ave,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2040,71,0.08356671896520095,0.43573338152465285,7.506237046529269,-71.171006,42.370094,2040.0,Mt Auburn St @ Amherst Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2047,71,0.014890244269750908,0.33013753966884885,7.197054690302321,-71.174098,42.369064,2047.0,Mt Auburn St @ Bates Rd E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
2042,71,0.02921609288876841,0.5731654796816087,6.663410965168079,-71.176239,42.36848,2042.0,Mt Auburn St @ Russell Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
