stop_id,route_id,average_ons,average_offs,average_load,X,Y,Stop_ID,Stop_Name,lambda_0.0,lambda_0.05,lambda_0.1,lambda_0.15,lambda_0.2,lambda_0.25,lambda_0.3,lambda_0.35,lambda_0.4,lambda_0.45,lambda_0.5,lambda_0.55,lambda_0.6,lambda_0.65,lambda_0.7,lambda_0.75,lambda_0.8,lambda_0.85,lambda_0.9,lambda_0.95,lambda_1.0
20761,73,6.497947907964359,0.0,7.745008180172658,-71.118948,42.3742740000001,20761.0,Harvard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,73,2.386467557783347,0.2618186960456697,10.095446776663886,-71.1232699999999,42.3735150000001,2020.0,Mt Auburn St @ Story St,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,73,0.1895019667223615,0.023366750208855477,13.080356881787802,-71.1256299999999,42.374356,2021.0,Mt Auburn St @ Ash St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2023,73,0.07300194931773878,0.11728017961570592,13.047190806878305,-71.130454,42.3747290000001,2023.0,Mt Auburn St @ Sparks St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2025,73,0.23386347813979402,1.0142504699248118,12.260764498050692,-71.133865,42.374937,2025.0,Mt Auburn St @ Longfellow Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2026,73,0.04720864661654136,0.15796853244221673,12.149283190615423,-71.136647,42.375072,2026.0,Mt Auburn St @ Traill St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2027,73,0.02485084238373711,0.12671653091060994,12.06225189710387,-71.13958,42.3749720000001,2027.0,Mt Auburn St opp Coolidge Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2028,73,0.015074317738791426,0.15166283764967972,11.945693313143977,-71.143947,42.3753970000001,2028.0,Mt Auburn St @ Brattle St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2030,73,0.5601185254803676,1.145118264411028,11.349715434419375,-71.148307,42.374974,2030.0,Mt Auburn St @ Homer Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2118,73,0.12290317808409912,0.5150163603453078,10.96899871205792,-71.151511,42.3749230000001,2118.0,Belmont St @ Cushing St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2119,73,0.0703185045948204,0.6312505221386795,10.418148322194373,-71.154041,42.375167,2119.0,Belmont St @ Sullivan Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2121,73,0.21446010860484543,0.7661377401837929,9.857612259816205,-71.158236,42.3761480000001,2121.0,Belmont St @ Marlboro St,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2122,73,0.06758867655249237,0.5465794695071012,9.376514898357003,-71.1605979999999,42.3767300000001,2122.0,Belmont St @ Falmouth St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2123,73,0.08981542397660819,0.6476640385686439,8.821063509468106,-71.163357,42.3769300000001,2123.0,Belmont St @ School St,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2124,73,0.047188022138680036,0.3146649610136454,8.559718741297692,-71.16635,42.377259,2124.0,Belmont St @ Payson Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2125,73,0.018098719019771642,0.3768787419938738,8.207810324422168,-71.169304,42.3777420000001,2125.0,Belmont St @ Oakley Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2126,73,0.009982943469785574,0.2500978139793929,7.991102930938463,-71.171295,42.378811,2126.0,Trapelo Rd @ Willow St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2127,73,0.11707167223614597,0.8592053049289888,7.2482991332497875,-71.174947,42.380749,2127.0,Trapelo Rd opp Williston Rd - Cushing Square,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2128,73,0.00971952450570871,0.3210870927318292,6.9438828842940685,-71.178011,42.381743,2128.0,Trapelo Rd opp Poplar St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2129,73,0.05468436716791983,0.8265537976886655,6.187594246031746,-71.1801859999999,42.382659,2129.0,Trapelo Rd @ Slade St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2130,73,0.0124510059871902,0.40021816694514095,5.807460752575884,-71.182408,42.384658,2130.0,Trapelo Rd opp Walnut St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
